18245<-ID->()||<BIN>8</BIN><BGM>BGM_Moon</BGM>:格里芬指揮室。
18246<-ID->FN57(0)<Speaker>||<BIN>8</BIN>:我明白了，指揮官。+拍攝婚紗照用作格里芬和IOP的宣傳……這次的任務看上去很有意思呢。
18247<-ID->FN57(0)<Speaker>指揮官</Speaker>||<BIN>8</BIN>:你好像興致很高啊……
18248<-ID->FN57(0)<Speaker>||<BIN>8</BIN>:很意外？
18249<-ID->FN57(0)<Speaker>指揮官</Speaker>||<BIN>8</BIN>:我還以為戰術人形對這種工作不會太感興趣。
18250<-ID->FN57(0)<Speaker>||<BIN>8</BIN>:戰鬥之外，我們多少也算作女生哦。+而且身為公司的雇員，我們也沒有選擇任務的權力不是嗎？
18251<-ID->FN57(0)<Speaker>指揮官</Speaker>||<BIN>8</BIN>:……說的也是。
18252<-ID->FN57(0)<Speaker>||<BIN>8</BIN>:對了，指揮官……有個任務上的小細節想向您確認一下。+委託方有沒有指定我們拍攝時的服裝？
18253<-ID->FN57(0)<Speaker>指揮官</Speaker>||<BIN>8</BIN>:啊……只要前往指定的店鋪拍攝婚紗照就可以。+具體的婚紗款式沒有指定，由我方自由選擇。
18254<-ID->FN57(0)<Speaker>||<BIN>8</BIN>:那麼選擇婚紗的時候，由我來協助指揮官如何？
18255<-ID->FN57(0)<Speaker>指揮官</Speaker>||<BIN>8</BIN>:可以啊，正好我也不太清楚大家都喜歡什麼樣的服裝款式。+如果是FN57，一定比我更加了解人形的喜好吧。
18256<-ID->FN57(0)<Speaker>||<BIN>8</BIN>:那是自然，我對自己的眼光可是相當有自信呢。
18257<-ID->FN57(0)<Speaker>指揮官</Speaker>||<BIN>8</BIN>:選婚紗的日期是在後天。+到時候就拜託你啦，FN57。
18258<-ID->FN57(0)<Speaker>||<BIN>8</BIN><黑点1>:好的，指揮官。+到時候，我一定會為大家選出最美的裝扮。
18259<-ID->()||<BIN>80</BIN><黑点2>:兩天後。
18260<-ID->()||<BIN>80</BIN>:我和FN57一起在任務指定的攝影館內，選擇大家拍攝時要穿著的婚紗。
18261<-ID->指揮官()||<BIN>80</BIN>:已經過去三個小時了……+選婚紗這麼麻煩嗎……我眼睛都乾死了。
18262<-ID->FN57(0)<Speaker>||<BIN>80</BIN>:畢竟是人類重要時刻穿著的衣服嘛。+不過我們只是拍攝廣告，所以每人一套就足夠了。+如果是人類正式拍攝結婚照，按照這家攝影館的規格，需要選出五套不同樣式的婚紗呢。
18263<-ID->FN57(0)<Speaker>指揮官</Speaker>||<BIN>80</BIN>:你了解的還真多啊？
18264<-ID->FN57(0)<Speaker>||<BIN>80</BIN>:只是一些簡單的背景調查而已。+執行任務之前自然是要做足功課的。
18265<-ID->FN57(0)<Speaker>指揮官</Speaker>||<BIN>80</BIN>:看來是我低估任務的難度了。
18266<-ID->FN57(0)<Speaker>||<BIN>80</BIN>:您放心，今天的工作馬上就要完成了。+排除掉有缺憾的選項，現在還剩下這幾件，請您再次過目，指揮官。
